row ID,x,y,z,radius,Tryptophan,Hexadecenoic acid,Triethyl citrate,Octadecenoic acid,Piperine,Sphingosine (d17:1),Epicatechin,Aspartame,4-Sphingenine,Fluconazole,Avobenzone,Phytosphingosine,Monoethanolamine oleic acid amide,Erucamide,Cocamidopropyl betaine,Sodium Laureth Sulfate,Octocrylene,Tangeretin,Sodium laureth sulfate + Na,7-Ketocholesterol,Nobiletin,Azoxystrobin,Amlodipine,Taurocholate,Oleoyl lysolecithin,Sphingomyelin,Lactosylceramide
P4_Floor_RB11_01_5967,1.905247,1.57661,1.376733,0.12,0,0,0,28529.5,0,0,16709.90039,0,6874.689941,1083560,0,0,0,284843,128020,0,0,0,0,13852.59961,0,0,0,0,0,0,0
P4_Floor_RB12_01_5968,1.566009,1.57732,1.301115,0.12,0,12005.2998,0,62555,0,42136.60156,0,0,0,894664,0,0,0,196813,139629,18408.80078,0,0,0,16967,0,0,0,0,0,0,0
P4_Floor_RC10_01_5978,1.216558,1.570006,0.768821,0.12,0,22771.30078,0,69915.29688,0,31232.09961,41217,0,0,778085,0,0,0,441743,169231,23295.5,0,0,0,20075.40039,0,0,0,0,0,0,0
P4_Floor_RC11_01_5979,2.362883,1.581236,0.544923,0.12,0,0,0,53882,0,26742.09961,0,0,16686,1227050,0,0,0,297827,187876,14888.2998,0,0,0,18768.5,0,0,0,0,0,0,0
P4_Floor_RC12_01_5980,1.625709,1.57779,0.060711,0.12,0,10873.40039,0,52731.69922,0,23655.19922,10490.40039,0,0,1071940,0,0,0,383171,196141,36515.39844,0,0,0,18278.19922,0,0,0,0,0,0,0
P4_Floor_RC1_01_5969,1.177909,1.574556,1.535616,0.12,0,0,0,38110.39844,0,31718.90039,11115.90039,0,0,1603390,0,0,0,138708,178073,37816.80078,0,0,0,12048.7002,0,0,0,0,0,0,0
P4_Floor_RC2_01_5970,0.85606,1.559355,1.29767,0.12,0,0,0,18357.40039,0,4757.740234,0,0,0,0,0,0,0,142394,37907.80078,0,0,0,0,0,0,0,0,0,0,0,0
P4_Floor_RC3_01_5971,1.996134,1.57701,1.288156,0.12,0,0,0,46129.5,0,13341.40039,0,0,0,1004720,0,0,0,447748,146211,6119.669922,0,0,0,12441.2002,0,0,0,0,0,0,0
P4_Floor_RC4_01_5972,1.700409,1.577077,1.171822,0.12,0,0,0,0,0,23628.30078,0,0,14739.2002,1368190,0,0,0,364677,25194.40039,0,0,0,0,0,0,0,0,0,0,0,0
P4_Floor_RC5_01_5973,1.282409,1.574102,1.037522,0.12,0,16756.30078,0,65319.30078,0,23048.30078,23613.40039,0,23701.69922,1267770,0,0,0,381671,290075,21250.19922,0,0,0,24495.5,0,0,0,0,0,0,0
P4_Floor_RC6_01_5974,0.931954,1.562118,0.955665,0.12,0,21616.19922,0,69326.79688,0,37216.39844,30889.09961,0,11566.90039,1129110,0,0,0,188140,247035,33560.10156,5942.200195,0,0,30518.59961,0,0,0,0,0,0,0
P4_Floor_RC7_01_5975,2.192909,1.571185,1.064054,0.12,0,0,0,28796,0,6956.77002,0,0,0,1232340,0,0,0,407772,94997.79688,6669.600098,0,0,0,10752.09961,0,0,0,0,0,0,0
P4_Floor_RC8_01_5976,2.008768,1.582346,1.039587,0.12,0,16036.7002,0,57159.10156,0,41165.10156,13572.2002,0,14216.7002,1336110,0,0,0,447716,233178,26994.19922,0,0,5079.490234,34414,0,0,0,0,0,0,0
P4_Floor_RC9_01_5977,1.651434,1.578047,0.824911,0.12,0,0,0,57105.10156,0,38698.5,0,0,0,1497620,20007.19922,0,0,523967,123482,9608.330078,0,0,0,15139.90039,0,0,0,0,0,0,0
P4_Floor_RD1_01_5981,1.260445,1.572167,0.209457,0.12,0,0,0,44728.30078,0,34408.89844,0,0,0,1406980,0,0,0,183368,125532,30258.69922,0,0,0,5387.200195,0,0,0,0,0,0,0
P4_Floor_RD2_01_5982,0.887247,1.560469,0.224409,0.12,0,0,0,67735.70313,0,40599.69922,0,0,0,1290580,0,0,0,153383,197182,5880.450195,0,0,0,22626.19922,0,0,0,0,0,0,0
